profitability,title,release_date
13,"2016: Obama's America",2012-07-13
13,Transamerica,2005-12-23
13,"It Happened One Night",1934-02-22
12,"Despicable Me 2",2013-06-25
12,"Forrest Gump",1994-07-06
12,"Toy Story",1995-10-30
12,Scream,1996-12-20
12,"Crouching Tiger, Hidden Dragon",2000-10-01
12,"Brokeback Mountain",2005-09-02
12,"The Purge: Anarchy",2014-07-17
12,"Little Miss Sunshine",2006-07-26
12,"On Her Majesty's Secret Service",1969-12-12
12,"The Terminator",1984-10-26
12,"Jackass: The Movie",2002-10-21
12,"Midnight Cowboy",1969-05-25
12,"The Wizard of Oz",1939-08-15
12,"Friday the 13th: The Final Chapter",1984-04-13
12,"Mad Max 2: The Road Warrior",1981-12-24
12,"Reservoir Dogs",1992-09-02
12,"Monty Python and the Holy Grail",1975-03-13
11,Avatar,2009-12-10
11,"The Lord of the Rings: The Return of the King",2003-12-01
11,"The Lord of the Rings: The Two Towers",2002-12-18
11,"The Secret Life of Pets",2016-06-18
11,"Mamma Mia!",2008-07-03
11,"The Karate Kid",1984-06-22
11,Batman,1989-06-23
11,Poltergeist,1982-06-04
11,Speed,1994-06-09
11,"Indiana Jones and the Temple of Doom",1984-05-23
11,"Shakespeare in Love",1998-12-11
11,"Bridget Jones's Diary",2001-04-13
11,Unforgiven,1992-08-07
11,"Born on the Fourth of July",1989-12-20
11,"Cool Runnings",1993-09-30
11,"The Purge: Election Year",2016-06-29
11,"The Gift",2015-07-30
11,"You Only Live Twice",1967-06-12
11,"Dallas Buyers Club",2013-09-07
11,"Monster's Ball",2001-11-11
11,Boyhood,2014-06-05
11,"The Witch",2016-02-19
11,"The Bridge on the River Kwai",1957-10-02
11,"The Best Years of Our Lives",1946-12-25
11,"Beasts of the Southern Wild",2012-06-29
11,Waitress,2007-05-25
11,Casablanca,1942-11-26
11,"Hoop Dreams",1994-09-12
11,"The Broadway Melody",1929-02-08
11,"She Done Him Wrong",1933-02-09
11,"The Grace Card",2011-02-25
10,"Jurassic World",2015-06-09
10,"Finding Nemo",2003-05-30
10,"Independence Day",1996-06-25
10,"The Twilight Saga: Eclipse",2010-06-23
10,Ted,2012-06-29
10,Twilight,2008-11-20
10,"The Blind Side",2009-11-20
10,"The Maze Runner",2014-09-10
10,"Me Before You",2016-06-02
10,"Bad Teacher",2011-05-16
10,"Bad Grandpa",2013-10-22
10,"Romeo + Juliet",1996-10-31
10,"A Nightmare on Elm Street 4: The Dream Master",1988-08-19
10,"Doctor Zhivago",1965-12-22
10,"Saw V",2008-10-23
10,"She's All That",1999-01-29
10,"Insidious: Chapter 3",2015-06-04
10,"Chariots of Fire",1981-05-15
10,"No Escape",2015-08-26
10,"Of Gods and Men",2010-05-18
10,"Rosemary's Baby",1968-06-12
10,"Garden State",2004-07-28
10,"Amores perros",2000-06-16
10,"Kissing Jessica Stein",2001-04-21
10,Cry_Wolf,2005-09-16
10,"Godzilla 2000",1999-12-11
10,"On the Waterfront",1954-06-22
10,"High Noon",1952-03-27
9,Titanic,1997-11-18
9,"The Lord of the Rings: The Fellowship of the Ring",2001-12-18
9,"Ice Age: Continental Drift",2012-06-26
9,"Ice Age: Dawn of the Dinosaurs",2009-06-29
9,"The Hunger Games",2012-03-12
9,"Red Dawn",1984-08-10
9,"American Sniper",2014-12-11
9,"Indiana Jones and the Last Crusade",1989-05-24
9,"Austin Powers: The Spy Who Shagged Me",1999-06-08
9,"Lethal Weapon 3",1992-05-15
9,"The Devil Wears Prada",2006-06-30
9,"American Pie 2",2001-08-10
9,Se7en,1995-09-22
9,"Pitch Perfect 2",2015-05-07
9,Taken,2008-02-18
9,"Mr. Bean's Holiday",2007-03-22
9,Footloose,1984-02-17
9,"Howl's Moving Castle",2004-11-19
9,"Silver Linings Playbook",2012-09-08
9,"Jaws 2",1978-06-16
9,"12 Years a Slave",2013-10-18
9,"Bad Moms",2016-07-28
9,"Day of the Dead",1985-07-19
9,Aliens,1986-07-18
9,"The Color Purple",1985-12-18
9,Mama,2013-01-17
9,"Good Morning, Vietnam",1987-12-23
9,"Step Up",2006-08-11
9,Chronicle,2012-02-01
9,"White Noise",2005-01-07
9,"Madea's Family Reunion",2006-02-24
9,Alien,1979-05-25
9,"Fiddler on the Roof",1971-11-03
9,"Easy A",2010-09-10
9,"Sliding Doors",1998-04-23
9,"Snow Flower and the Secret Fan",2011-07-15
9,"Lights Out",2016-07-21
9,"Annie Hall",1977-04-19
9,"The Greatest Show on Earth",1952-01-10
9,"The Kids Are All Right",2010-07-09
9,"High Anxiety",1977-12-25
9,"City of God",2002-02-05
9,"A Nightmare on Elm Street Part 2: Freddy's Revenge",1985-10-31
9,"Friday the 13th Part III",1982-08-13
9,"Friday the 13th: A New Beginning",1985-03-22
9,Sleeper,1973-12-17
9,"Everything You Always Wanted to Know About Sex *But Were Afraid to Ask",1972-08-06
9,Buried,2010-09-24
9,"Love Me Tender",1956-11-15
9,"The Sessions",2012-05-02
9,Bronson,2008-10-09
9,"El Mariachi",1992-09-04
8,Frozen,2013-11-27
8,"Star Wars: Episode I - The Phantom Menace",1999-05-19
8,"Harry Potter and the Chamber of Secrets",2002-11-13
8,"Ice Age: The Meltdown",2006-03-23
8,Shrek,2001-05-16
8,"Robin Hood: Prince of Thieves",1991-06-14
8,"First Blood",1982-10-22
8,"Taken 2",2012-09-27
8,"The Fugitive",1993-08-06
8,"Notting Hill",1999-05-13
8,"Back to the Future Part II",1989-11-20
8,"The Conjuring 2",2016-05-13
8,"The English Patient",1996-11-14
8,Bridesmaids,2011-04-28
8,"DodgeBall: A True Underdog Story",2004-06-18
8,Babe,1995-07-18
8,"Gran Torino",2008-12-09
8,"The Waterboy",1998-11-06
8,"The Santa Clause",1994-11-10
8,"The Descendants",2011-09-09
8,Big,1988-06-03
8,"Let's Be Cops",2014-08-13
8,"Sense and Sensibility",1995-12-13
8,"The Artist",2011-05-15
8,Tootsie,1982-12-16
8,"The Queen",2006-09-15
8,"The Theory of Everything",2014-11-26
8,"Magic Mike XXL",2015-07-01
8,"The Iron Lady",2011-12-30
8,"Think Like a Man",2012-04-16
8,"Star Trek II: The Wrath of Khan",1982-06-03
8,"Time Bandits",1981-07-13
8,"Project X",2012-03-01
8,Philomena,2013-11-01
8,"The Host",2006-07-27
8,"Heaven is for Real",2014-04-16
8,Snatch,2000-09-01
8,"Dirty Grandpa",2016-01-21
8,Stripes,1981-06-25
8,"The Second Best Exotic Marigold Hotel",2015-02-26
8,Splash,1984-03-09
8,"(500) Days of Summer",2009-07-17
8,"Boyz n the Hood",1991-07-12
8,"La Bamba",1987-07-24
8,"Escape from New York",1981-05-22
8,"The Last King of Scotland",2006-09-01
8,"A Nightmare on Elm Street 3: Dream Warriors",1987-02-27
8,"The Robe",1953-09-16
8,"The Return of the Pink Panther",1975-05-21
8,Oculus,2013-09-08
8,"As Above, So Below",2014-08-14
8,"Still Alice",2014-12-05
8,Friday,1995-04-26
8,"Bowling for Columbine",2002-10-09
8,"The Apartment",1960-06-15
8,"Some Like It Hot",1959-03-18
8,"The Lost Weekend",1945-11-25
8,Monsters,2010-06-18
7,"Furious 7",2015-04-01
7,"Harry Potter and the Philosopher's Stone",2001-11-16
7,"Star Wars: Episode III - Revenge of the Sith",2005-05-17
7,Madagascar,2005-05-25
7,"The Simpsons Movie",2007-07-25
7,"Despicable Me",2010-07-08
