original_title
"Midnight in Paris"
"The Curse of the Jade Scorpion"
"To Rome with Love"
"Bullets Over Broadway"
"Deconstructing Harry"
"Everyone Says I Love You"
"Blue Jasmine"
"Small Time Crooks"
"Anything Else"
"Vicky Cristina Barcelona"
"Radio Days"
"Hollywood Ending"
"Match Point"
"Whatever Works"
"You Will Meet a Tall Dark Stranger"
Celebrity
"Annie Hall"
Scoop
Sleeper
"Everything You Always Wanted to Know About Sex *But Were Afraid to Ask"
Bananas
