title,popularity,release_date
"Hot Tub Time Machine",33,2010-03-26
"The Reader",33,2008-12-10
"Up in the Air",33,2009-09-05
"Bride Wars",33,2009-01-09
Atonement,33,2007-08-29
"30 Days of Night",33,2007-10-17
"The Best of Me",33,2014-10-16
"Tinker Tailor Soldier Spy",33,2011-09-16
Survivor,33,2015-05-21
"Left Behind",33,2014-10-03
Superbad,33,2007-08-17
"Evil Dead",33,2013-04-05
"A Walk to Remember",33,2002-01-25
"Saw III",33,2006-10-27
"Wrong Turn",33,2003-05-30
50/50,33,2011-09-30
"Don Jon",33,2013-07-26
Hugo,32,2011-11-22
"G.I. Joe: The Rise of Cobra",32,2009-08-04
"The Smurfs 2",32,2013-07-30
"Little Fockers",32,2010-12-21
Catwoman,32,2004-07-22
"The Book of Eli",32,2010-01-14
Jarhead,32,2005-11-04
"Meet the Fockers",32,2004-12-22
Flightplan,32,2005-09-22
"Mr. Popper's Penguins",32,2011-06-17
"The Change-Up",32,2011-08-05
Knowing,32,2009-03-19
"The Ring Two",32,2005-03-17
"Silent Hill",32,2006-04-21
"Miss Congeniality",32,2000-12-14
"16 Blocks",32,2006-03-01
"8 Mile",32,2002-11-08
"Scary Movie 4",32,2006-04-13
"The Final Destination",32,2009-08-26
"Secret Window",32,2004-03-12
"A Million Ways to Die in the West",32,2014-05-22
Chicago,32,2002-12-26
"The Butler",32,2013-08-16
"Stranger Than Fiction",32,2006-09-09
Legend,32,2015-09-09
"21 Grams",32,2003-09-06
"The Exorcism of Emily Rose",32,2005-09-09
"Midnight Special",32,2016-02-18
"Pitch Perfect",32,2012-09-28
"Vicky Cristina Barcelona",32,2008-08-15
"Jennifer's Body",32,2009-09-18
"Kiss Kiss Bang Bang",32,2005-09-05
"Seven Psychopaths",32,2012-09-07
Downfall,32,2004-09-08
"Project Almanac",32,2015-01-30
"The Great Beauty",32,2013-05-21
"Saw V",32,2008-10-23
Irreversible,32,2002-05-22
"The Way Way Back",32,2013-06-06
Buried,32,2010-09-24
"The Green Hornet",31,2011-01-12
"Where the Wild Things Are",31,2009-10-16
Scooby-Doo,31,2002-06-14
"The Legend of Zorro",31,2005-10-24
"The Secret Life of Pets",31,2016-06-18
Hairspray,31,2007-07-13
"What Women Want",31,2000-12-15
"The Dictator",31,2012-05-15
"I, Frankenstein",31,2014-01-22
"Wild Hogs",31,2007-03-02
"The Boat That Rocked",31,2009-04-01
"The Bucket List",31,2007-12-25
Savages,31,2012-07-06
"Chicken Run",31,2000-06-21
42,31,2013-04-12
"Extremely Loud & Incredibly Close",31,2011-12-24
Disturbia,31,2007-04-12
"Burn After Reading",31,2008-09-05
"Saving Mr. Banks",31,2013-11-16
Safe,31,2012-04-16
"Mystic River",31,2003-10-07
Hanna,31,2011-04-07
"Paul Blart: Mall Cop",31,2009-01-15
"Pain & Gain",31,2013-04-18
"Final Destination 3",31,2006-02-10
Contraband,31,2012-01-12
RockNRolla,31,2008-09-04
Krampus,31,2015-11-26
"Mulholland Drive",31,2001-05-16
"The Fighter",31,2010-12-17
"If I Stay",31,2014-08-21
"Saw VI",31,2009-10-22
LOL,31,2012-02-10
"Pete's Dragon",31,2016-08-10
[REC],31,2007-04-10
"The Man from Earth",31,2007-06-10
Eragon,30,2006-12-14
"Green Zone",30,2010-03-11
"Marley & Me",30,2008-12-25
"The Boxtrolls",30,2014-09-10
"Mamma Mia!",30,2008-07-03
"Erin Brockovich",30,2000-03-17
"Drive Angry",30,2011-02-24
K-PAX,30,2001-10-22
"The Princess Diaries 2: Royal Engagement",30,2004-08-06
"27 Dresses",30,2008-01-10
"The Curse of the Were-Rabbit",30,2005-09-04
Legion,30,2010-01-21
"The Best Offer",30,2013-01-01
"Rocky Balboa",30,2006-12-20
"Delivery Man",30,2013-10-10
Milk,30,2008-11-26
"The Bank Job",30,2008-02-28
Burnt,30,2015-10-02
"The Amityville Horror",30,2005-04-15
Snitch,30,2013-02-21
"Match Point",30,2005-10-26
"Never Let Me Go",30,2010-09-15
"Attack the Block",30,2011-05-12
Devil,30,2010-01-13
"Seeking a Friend for the End of the World",30,2012-06-22
"Green Room",30,2016-04-15
"25th Hour",30,2002-12-16
"Garden State",30,2004-07-28
"Bee Movie",29,2007-10-28
Rango,29,2011-03-02
"The Lovely Bones",29,2009-12-26
Ben-Hur,29,2016-08-17
Enchanted,29,2007-11-20
"The Core",29,2003-03-28
Robots,29,2005-03-10
Munich,29,2005-12-22
"Alvin and the Chipmunks: The Squeakquel",29,2009-12-21
"War Horse",29,2011-12-25
Doom,29,2005-10-20
"Killer Elite",29,2011-09-23
Paycheck,29,2003-12-25
Joy,29,2015-12-24
"Gangster Squad",29,2013-01-10
"Meet the Parents",29,2000-10-06
"Æon Flux",29,2005-11-30
"Resident Evil: Apocalypse",29,2004-09-10
"Shallow Hal",29,2001-11-01
"The Lake House",29,2006-06-16
"The Skeleton Key",29,2005-07-29
Aloha,29,2015-05-27
"Broken City",29,2013-01-18
"Step Up Revolution",29,2012-07-26
"P.S. I Love You",29,2007-11-15
"Deliver Us from Evil",29,2014-07-01
"Dead Man Down",29,2013-03-08
"Anchorman: The Legend of Ron Burgundy",29,2004-07-09
"August Rush",29,2007-11-21
"Eddie the Eagle",29,2016-02-26
"Out of the Furnace",29,2013-12-06
Selma,29,2014-12-25
Orphan,29,2009-07-24
"Triple 9",29,2016-02-19
"Machete Kills",29,2013-09-12
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",29,2006-11-01
"The Artist",29,2011-05-15
"Magic Mike XXL",29,2015-07-01
"Under the Skin",29,2014-03-14
Philomena,29,2013-11-01
Nebraska,29,2013-09-21
"Saw IV",29,2007-10-25
"Thank You for Smoking",29,2005-09-05
"Definitely, Maybe",29,2008-02-08
Dope,29,2015-06-19
"Paranormal Activity 3",29,2011-10-19
"The Orphanage",29,2007-08-27
"Transformers: Dark of the Moon",28,2011-06-28
Australia,28,2008-11-18
"Hollow Man",28,2000-08-04
Signs,28,2002-08-02
"The Finest Hours",28,2016-01-25
Elektra,28,2005-01-13
"Eat Pray Love",28,2010-08-12
"Starsky & Hutch",28,2004-03-05
Priest,28,2011-05-05
"Bridget Jones: The Edge of Reason",28,2004-11-10
"Johnny English",28,2003-04-06
Pandorum,28,2009-09-08
"J. Edgar",28,2011-11-09
Parker,28,2013-01-23
Blow,28,2001-04-04
"Last Vegas",28,2013-10-31
"Pride and Prejudice and Zombies",28,2016-02-04
"About a Boy",28,2002-04-26
"Ride Along",28,2014-01-07
Chocolat,28,2000-12-14
"White Chicks",28,2004-06-23
Daybreakers,28,2009-01-06
"The Frozen Ground",28,2013-07-18
"Bad Teacher",28,2011-05-16
"The Crazies",28,2010-02-26
"Step Up 2: The Streets",28,2008-02-14
"Hotel Rwanda",28,2004-09-11
"Big Eyes",28,2014-12-24
Crash,28,2004-01-13
"All Is Lost",28,2013-10-18
"We Are Your Friends",28,2015-08-26
Dogtooth,28,2009-06-01
"Evan Almighty",27,2007-06-09
"Stuart Little 2",27,2002-07-19
"The Chronicles of Riddick",27,2004-06-11
"Alvin and the Chipmunks: The Road Chip",27,2015-12-17
"Spy Game",27,2001-11-18
Zookeeper,27,2011-07-06
"Arthur and the Invisibles",27,2006-12-13
"Tears of the Sun",27,2003-03-07
"The Village",27,2004-07-30
"Vanilla Sky",27,2001-12-10
"Hall Pass",27,2011-02-25
"Reign of Fire",27,2002-07-12
Inkheart,27,2008-12-11
Changeling,27,2008-01-30
"From Paris with Love",27,2010-02-05
Gamer,27,2009-09-03
"Babylon A.D.",27,2008-08-20
Gothika,27,2003-11-21
Frankenweenie,27,2012-10-04
"What to Expect When You're Expecting",27,2012-05-17
"John Q",27,2002-02-15
Sabotage,27,2014-03-28
Criminal,27,2016-04-14
"The SpongeBob SquarePants Movie",27,2004-11-14
"The Five-Year Engagement",27,2012-04-27
"Once Upon a Time in Mexico",27,2003-09-11
"Mr. Bean's Holiday",27,2007-03-22
"Zack and Miri Make a Porno",27,2008-09-18
"The Hundred-Foot Journey",27,2014-08-06
"Ghost Ship",27,2002-10-25
"Endless Love",27,2014-02-12
"A Dangerous Method",27,2011-09-30
Regression,27,2015-10-01
"The Switch",27,2010-05-11
"Bad Grandpa",27,2013-10-22
"The Host",27,2006-07-27
Stoker,27,2013-02-28
"The Gift",27,2015-07-30
Idiocracy,27,2006-09-01
"The Signal",27,2014-03-15
G-Force,26,2009-07-21
"Final Fantasy: The Spirits Within",26,2001-07-02
Dinosaur,26,2000-05-19
"Open Season",26,2006-09-29
"The Longest Yard",26,2005-05-19
"The Kingdom",26,2007-08-22
Dreamcatcher,26,2003-03-21
"Couples Retreat",26,2009-09-19
"The Break-Up",26,2006-06-01
"The Adjustment Bureau",26,2011-03-03
"Anna Karenina",26,2012-09-06
"Coyote Ugly",26,2000-07-30
"From Hell",26,2001-10-19
"Here Comes the Boom",26,2012-10-11
"Cheaper by the Dozen",26,2003-12-24
"He's Just Not That Into You",26,2009-02-06
"The Count of Monte Cristo",26,2002-01-23
"The Lincoln Lawyer",26,2011-03-17
"The Gunman",26,2015-02-16
"The Incredible Burt Wonderstone",26,2013-03-14
"The Vow",26,2012-02-05
"Freddy vs. Jason",26,2003-08-15
"The Lucky One",26,2012-04-19
Faster,26,2010-11-23
Haywire,26,2011-11-06
"I Am Sam",26,2001-12-28
"Never Back Down",26,2008-03-04
"Team America: World Police",26,2004-10-10
"Texas Chainsaw 3D",26,2013-01-03
"A Scanner Darkly",26,2006-05-25
Adaptation.,26,2002-12-06
"Bad Santa",26,2003-11-26
"A Most Wanted Man",26,2014-07-25
Chloe,26,2009-03-25
Machete,26,2010-09-01
"Harold & Kumar Escape from Guantanamo Bay",26,2008-04-25
"Sinister 2",26,2015-08-19
Skyline,26,2010-11-11
"The Last King of Scotland",26,2006-09-01
"As Above, So Below",26,2014-08-14
"Margin Call",26,2011-09-28
"I Spit on Your Grave",26,2010-06-17
"Blue Valentine",26,2010-12-27
Monsters,26,2010-06-18
Transformers,25,2007-06-27
"Fun with Dick and Jane",25,2005-12-21
"The Perfect Storm",25,2000-03-15
"The Pink Panther",25,2006-01-18
"The Time Machine",25,2002-03-04
"The Legend of Hercules",25,2014-01-10
"Year One",25,2009-06-18
"Shanghai Noon",25,2000-05-26
"Valentine's Day",25,2010-02-10
"The Life Aquatic with Steve Zissou",25,2004-12-10
Traffic,25,2000-12-27
Unleashed,25,2005-02-02
"Ride Along 2",25,2016-01-14
"I Love You, Man",25,2009-03-20
"The Master",25,2012-09-07
"Cop Out",25,2010-02-26
"The Blind Side",25,2009-11-20
"The Cell",25,2000-08-17
"Max Payne",25,2008-10-15
"The X Files: I Want to Believe",25,2008-07-24
"Repo Men",25,2010-03-18
"Remember the Titans",25,2000-09-29
"Step Up 3D",25,2010-08-04
"30 Minutes or Less",25,2011-08-11
"Brick Mansions",25,2014-04-22
"The House Bunny",25,2008-08-22
EuroTrip,25,2004-02-20
"The Transporter Refueled",25,2015-09-03
Babel,25,2006-09-08
"A Cinderella Story",25,2004-07-10
"Legally Blonde",25,2001-07-13
"The Others",25,2001-08-02
"Escobar: Paradise Lost",25,2014-10-11
"In Bruges",25,2008-02-08
"Dude, Where’s My Car?",25,2000-12-15
Triangle,25,2009-10-16
"The Bélier Family",25,2014-12-17
"The Wave",25,2008-03-11
"House at the End of the Street",25,2012-09-21
"The Awakening",25,2011-08-17
"The Secret in Their Eyes",25,2009-08-13
"Batman: The Dark Knight Returns, Part 2",25,2013-01-18
"The Spectacular Now",25,2013-08-02
"Hard Candy",25,2005-01-14
"Safety Not Guaranteed",25,2012-06-08
"Blue Ruin",25,2014-04-25
"Another Earth",25,2011-07-22
"The Other Guys",24,2010-08-06
"Cinderella Man",24,2005-06-02
"The Rundown",24,2003-09-26
"Cold Mountain",24,2003-12-24
Bandits,24,2001-10-12
"Sky Captain and the World of Tomorrow",24,2004-09-17
"World Trade Center",24,2006-08-09
"Astro Boy",24,2009-10-15
"Two Weeks Notice",24,2002-12-19
"Edge of Darkness",24,2010-01-29
"The Infiltrator",24,2016-07-13
Cellular,24,2004-09-06
"Victor Frankenstein",24,2015-11-10
"Scream 3",24,2000-02-03
"Eight Below",24,2006-02-17
"Vantage Point",24,2008-02-01
"Behind Enemy Lines",24,2001-11-17
"Pay It Forward",24,2000-10-12
"Spy Kids 2: The Island of Lost Dreams",24,2002-08-07
"The Town",24,2010-09-15
"The Fountain",24,2006-09-06
"Big Momma's House",24,2000-05-31
"Men of Honor",24,2000-09-13
"Four Brothers",24,2005-08-11
"The Jacket",24,2005-03-04
"Role Models",24,2008-02-03
"The Royal Tenenbaums",24,2001-10-05
"My Sister's Keeper",24,2009-06-26
"Freaky Friday",24,2003-08-03
"Nanny McPhee",24,2005-10-21
"The Losers",24,2010-04-23
"Old School",24,2003-02-21
Beastly,24,2011-01-21
"Killing Them Softly",24,2012-09-20
Flipped,24,2010-08-06
"No Good Deed",24,2014-09-10
"Letters from Iwo Jima",24,2006-12-19
Persepolis,24,2007-05-23
"Layer Cake",24,2004-09-30
"The Boy Next Door",24,2015-01-23
"The Patriot",23,2000-06-28
"Surf's Up",23,2007-06-08
"Alvin and the Chipmunks: Chipwrecked",23,2011-12-14
"Get Smart",23,2008-06-19
"Bedtime Stories",23,2008-12-24
Killers,23,2010-06-04
Hostage,23,2005-03-09
"Wall Street: Money Never Sleeps",23,2010-09-02
"Rock of Ages",23,2012-06-13
Invictus,23,2009-12-10
"Planet 51",23,2009-11-19
"Walking Tall",23,2004-04-02
"The Pirates! In an Adventure with Scientists!",23,2012-03-12
"A Very Long Engagement",23,2004-10-26
"Flags of Our Fathers",23,2006-10-18
"How to Lose a Guy in 10 Days",23,2003-02-07
"Race to Witch Mountain",23,2009-03-12
"Coach Carter",23,2005-01-14
Hero,23,2002-12-19
"City of Ember",23,2008-10-07
"The Ladykillers",23,2004-03-25
"Nanny McPhee and the Big Bang",23,2010-03-26
"The Darkest Hour",23,2011-12-22
"The Number 23",23,2007-02-23
Splice,23,2009-10-06
"Case 39",23,2009-08-13
"The Whole Nine Yards",23,2000-02-18
"Piranha 3D",23,2010-08-20
"The Last Song",23,2010-03-31
"High Fidelity",23,2000-03-17
"Silent Hill: Revelation 3D",23,2012-10-10
Hoodwinked!,23,2005-12-16
Sideways,23,2004-10-22
"Smokin' Aces",23,2006-12-09
"Not Another Teen Movie",23,2001-12-07
"The Iron Lady",23,2011-12-30
"Jeepers Creepers",23,2001-07-01
"The Descent",23,2005-07-08
"A Serious Man",23,2009-10-02
"Elite Squad",23,2007-10-12
"Before Midnight",23,2013-04-05
"Robot & Frank",23,2012-08-16
"Amores perros",23,2000-06-16
"Napoleon Dynamite",23,2004-06-11
Primer,23,2004-10-08
"Rush Hour 3",22,2007-08-08
"Flushed Away",22,2006-10-22
"Gulliver's Travels",22,2010-12-25
"Around the World in 80 Days",22,2004-06-16
"Jack and Jill",22,2011-11-11
"The Sum of All Fears",22,2002-05-31
"The Score",22,2001-07-13
"Step Brothers",22,2008-07-25
"Intolerable Cruelty",22,2003-09-02
"Winter's Tale",22,2014-02-13
Burlesque,22,2010-11-23
"Bullet to the Head",22,2013-01-31
Elizabethtown,22,2005-10-06
"The Life of David Gale",22,2003-02-21
"Jonah Hex",22,2010-06-18
"Julie & Julia",22,2009-08-06
"Morning Glory",22,2010-01-12
"The Other Boleyn Girl",22,2008-02-28
"Marie Antoinette",22,2006-05-24
"The Ugly Truth",22,2009-07-24
Closer,22,2004-12-01
"Ella Enchanted",22,2004-04-09
"Runner Runner",22,2013-09-24
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",22,2014-10-08
"Just My Luck",22,2006-05-12
"Knocked Up",22,2007-06-01
Brothers,22,2009-01-27
"The Raven",22,2012-03-09
"Scooby-Doo 2: Monsters Unleashed",22,2004-03-24
"The Gambler",22,2014-12-25
"The Water Diviner",22,2014-12-25
Holes,22,2003-04-18
Premonition,22,2007-02-08
"Red Lights",22,2012-03-02
Centurion,22,2010-02-15
"Dancer in the Dark",22,2000-05-17
"The Fourth Kind",22,2009-11-06
"Bend It Like Beckham",22,2002-04-11
"[REC]²",22,2009-09-15
Race,22,2016-02-19
Joe,22,2014-04-11
"Paranormal Activity 2",22,2010-10-20
"Transformers: Revenge of the Fallen",21,2009-06-19
Poseidon,21,2006-05-12
"The Wolfman",21,2010-02-11
Sahara,21,2005-04-06
"The Spiderwick Chronicles",21,2008-02-14
Jumper,21,2008-02-10
"The Manchurian Candidate",21,2004-07-30
"Fool's Gold",21,2008-02-07
"The Tuxedo",21,2002-09-27
"State of Play",21,2009-04-17
"Star Trek: Nemesis",21,2002-12-13
"Analyze That",21,2002-12-06
"Almost Famous",21,2000-09-15
"That's My Boy",21,2012-06-14
"Free State of Jones",21,2016-06-24
"Your Highness",21,2011-04-08
"The One",21,2001-11-02
"The Ghost Writer",21,2010-02-12
"Charlie St. Cloud",21,2010-05-01
"Spy Kids 3-D: Game Over",21,2003-07-25
Ray,21,2004-10-29
"The Mexican",21,2001-03-01
"Grudge Match",21,2013-12-25
"Spy Kids",21,2001-03-18
Doomsday,21,2008-03-14
"Dragonball Evolution",21,2009-04-01
"Along Came a Spider",21,2001-04-06
"New Year's Eve",21,2011-12-08
"Good Luck Chuck",21,2007-09-21
"The Box",21,2009-09-17
"The Possession",21,2012-08-30
"Jay and Silent Bob Strike Back",21,2001-08-22
Tammy,21,2014-07-02
"Leap Year",21,2010-01-08
"The Prince",21,2014-08-22
"The Texas Chainsaw Massacre: The Beginning",21,2006-10-06
"Diary of a Wimpy Kid",21,2010-03-19
"Whatever Works",21,2009-06-19
"Act of Valor",21,2012-02-24
"House of Flying Daggers",21,2004-05-19
"High School Musical 3: Senior Year",21,2008-10-22
"Woman in Gold",21,2015-04-10
"The Best Exotic Marigold Hotel",21,2011-11-28
"My Week with Marilyn",21,2011-10-17
Anomalisa,21,2015-12-30
"A Single Man",21,2009-10-19
"We Need to Talk About Kevin",21,2011-09-28
"High School Musical 2",21,2007-08-17
Incendies,21,2010-09-04
"Kill the Messenger",21,2014-10-09
Trust,21,2010-09-10
"The Hunt",21,2012-08-28
"Like Crazy",21,2011-10-28
"Puss in Boots",20,2011-10-28
"Asterix at the Olympic Games",20,2008-01-13
"Flight of the Phoenix",20,2004-12-17
"Funny People",20,2009-07-31
"Lady in the Water",20,2006-07-21
"Oliver Twist",20,2005-09-23
"The Happening",20,2008-06-11
"Into the Storm",20,2014-08-06
"The Ant Bully",20,2006-07-27
"Revolutionary Road",20,2008-12-19
Bandidas,20,2006-01-18
Wanderlust,20,2012-02-23
"Larry Crowne",20,2011-06-30
"My Super Ex-Girlfriend",20,2006-06-20
Sanctum,20,2011-02-03
"Love & Other Drugs",20,2010-11-22
"Little Nicholas",20,2009-09-30
"The Boss",20,2016-04-07
"The Constant Gardener",20,2005-08-31
"The Fifth Estate",20,2013-10-11
"The Hours",20,2002-12-27
"August: Osage County",20,2013-12-26
Carnage,20,2011-09-16
"The Men Who Stare at Goats",20,2009-10-17
"The Ides of March",20,2011-09-24
"The Game Plan",20,2007-09-28
"Death at a Funeral",20,2007-02-09
"Jackass 3D",20,2010-10-15
"Lakeview Terrace",20,2008-09-19
"This Is Where I Leave You",20,2014-09-10
Doubt,20,2008-11-27
"Reign Over Me",20,2007-03-23
"All Good Things",20,2010-12-03
"The Painted Veil",20,2006-12-09
"Thir13en Ghosts",20,2001-10-26
"Enter the Void",20,2009-05-05
"The Homesman",20,2014-05-18
"Whip It",20,2009-09-13
"A Perfect Getaway",20,2009-06-08
"One Hour Photo",20,2002-08-21
"Nick and Norah's Infinite Playlist",20,2008-10-03
"Hostel: Part II",20,2007-06-08
"The Chorus",20,2004-03-17
Headhunters,20,2011-08-04
"Paranormal Activity 4",20,2012-10-17
"The Lazarus Effect",20,2015-01-29
"Billy Elliot",20,2000-05-18
"Four Lions",20,2010-05-07
Sharknado,20,2013-07-11
Bachelorette,20,2012-08-06
Thirteen,20,2003-08-20
"Winter's Bone",20,2010-06-11
"Eden Lake",20,2008-09-12
Desire,20,2011-09-14
"Chernobyl Diaries",20,2012-05-24
"Fruitvale Station",20,2013-07-25
Exam,20,2009-06-19
"Home on the Range",19,2004-04-02
"Land of the Lost",19,2009-06-05
"The Stepford Wives",19,2004-06-10
"Arthur Christmas",19,2011-02-22
"Four Christmases",19,2008-11-26
"We Were Soldiers",19,2002-03-01
"Mona Lisa Smile",19,2003-12-19
"Blades of Glory",19,2007-03-30
"The Family Man",19,2000-12-12
"Miss Congeniality 2: Armed and Fabulous",19,2005-03-11
"The Ridiculous 6",19,2015-12-11
"Maid in Manhattan",19,2002-12-13
Shaft,19,2000-06-15
"Ninja Assassin",19,2009-09-29
Basic,19,2003-04-18
"Dream House",19,2011-09-30
Bedazzled,19,2000-10-19
"Finding Forrester",19,2000-12-21
"One for the Money",19,2012-01-26
"Made of Honor",19,2008-05-02
"Sweet November",19,2001-02-16
"The Grandmaster",19,2013-01-08
"A Man Apart",19,2003-04-04
"Ip Man 3",19,2015-12-19
Mirrors,19,2008-08-15
Abduction,19,2011-09-22
"Superhero Movie",19,2008-03-27
"Snakes on a Plane",19,2006-08-06
Frequency,19,2000-04-28
"About Schmidt",19,2002-12-13
"Winnie the Pooh",19,2011-04-13
"The New World",19,2005-12-25
"Florence Foster Jenkins",19,2016-05-06
"Open Range",19,2003-08-29
"Romeo Must Die",19,2000-03-20
"Jeepers Creepers 2",19,2003-08-08
"The Sitter",19,2011-12-09
"A Lot Like Love",19,2005-04-22
"Dear John",19,2010-02-04
"The Jungle Book 2",19,2003-02-07
"You Again",19,2010-09-24
"What's Your Number?",19,2011-09-30
"Let Me In",19,2010-10-01
"Soul Surfer",19,2011-04-08
"Running Scared",19,2006-01-06
"The Queen",19,2006-09-15
"The Last House on the Left",19,2009-03-13
"The Midnight Meat Train",19,2008-08-07
"I Love You Phillip Morris",19,2009-01-18
"Girl with a Pearl Earring",19,2003-08-31
"The Forest",19,2016-01-07
"While We're Young",19,2015-04-03
"The Iceman",19,2012-09-01
Adventureland,19,2009-04-03
Volver,19,2006-03-16
Juno,19,2007-12-05
"House of 1000 Corpses",19,2003-04-11
"The Guard",19,2011-07-07
Monster,19,2003-11-16
"Paranormal Activity: The Marked Ones",19,2014-01-01
"Sunshine Cleaning",19,2008-01-18
"Tucker and Dale vs Evil",19,2010-01-22
"Take Shelter",19,2011-11-25
Secretary,19,2002-01-11
Timecrimes,19,2007-09-20
Maniac,19,2012-12-26
Once,19,2007-03-23
Windtalkers,18,2002-06-14
Ali,18,2001-12-11
"The Cat in the Hat",18,2003-11-21
"Sex and the City 2",18,2010-05-26
"The Interpreter",18,2005-04-08
"Collateral Damage",18,2002-02-06
"The 6th Day",18,2000-11-17
"Little Nicky",18,2000-11-10
"Thirteen Days",18,2000-12-24
"Charlie Wilson's War",18,2007-12-19
"Be Cool",18,2005-03-04
Agora,18,2009-05-17
"The Kid",18,2000-07-07
U-571,18,2000-04-20
"Daddy Day Care",18,2003-05-03
"Cats & Dogs",18,2001-07-04
"Cheaper by the Dozen 2",18,2005-12-21
"Trouble with the Curve",18,2012-09-21
"Righteous Kill",18,2008-09-11
"Sinbad: Legend of the Seven Seas",18,2003-07-02
"Meet Dave",18,2008-07-08
"The Phantom of the Opera",18,2004-12-08
"You, Me and Dupree",18,2006-07-14
"Mr. Deeds",18,2002-06-28
"Failure to Launch",18,2006-03-10
Firewall,18,2006-02-10
Domino,18,2005-09-22
"Rat Race",18,2001-07-30
"The Sweetest Thing",18,2002-04-12
"Escape from Planet Earth",18,2013-02-14
"Because I Said So",18,2007-02-02
"Sweet Home Alabama",18,2002-09-26
Precious,18,2009-11-06
TMNT,18,2007-03-23
"The Back-Up Plan",18,2010-04-23
"Hot Pursuit",18,2015-05-08
Takers,18,2010-08-26
"The Big Wedding",18,2013-04-25
"The Nut Job",18,2014-01-17
"Assault on Precinct 13",18,2005-01-19
"Fright Night",18,2011-08-18
"Confessions of a Dangerous Mind",18,2002-12-30
"The Duchess",18,2008-09-05
"Hide and Seek",18,2005-01-27
War,18,2007-08-24
"Pitch Black",18,2000-02-18
"Michael Clayton",18,2007-09-28
"The American",18,2010-08-31
"Street Kings",18,2008-04-10
"Just Married",18,2003-01-09
Honey,18,2003-11-24
"Brooklyn's Finest",18,2009-01-16
"Becoming Jane",18,2007-03-02
"Welcome to the Sticks",18,2008-01-09
Wasabi,18,2001-10-31
Keanu,18,2016-04-21
Frida,18,2002-08-29
"The Last Days on Mars",18,2013-08-11
"Harold & Kumar Go to White Castle",18,2004-05-30
Awake,18,2007-11-28
"Clerks II",18,2006-05-25
"My Big Fat Greek Wedding",18,2002-02-22
"A Haunted House 2",18,2014-04-17
Adore,18,2013-04-03
"A Haunted House",18,2013-01-11
"The Diary of a Teenage Girl",18,2015-08-07
Bronson,18,2008-10-09
"The Gallows",18,2015-07-10
Stealth,17,2005-07-28
"Happy Feet Two",17,2011-11-17
"Speed Racer",17,2008-05-09
"Son of the Mask",17,2005-02-18
"Nutty Professor II: The Klumps",17,2000-07-27
"The Soloist",17,2009-04-24
"The Forbidden Kingdom",17,2008-04-18
Garfield,17,2004-06-10
"The Muppets",17,2011-11-22
"Changing Lanes",17,2002-04-07
"Big Momma's House 2",17,2006-01-26
"Get Him to the Greek",17,2010-06-04
"Music and Lyrics",17,2007-02-09
"A Monster in Paris",17,2011-10-12
"House of Wax",17,2005-04-30
"Premium Rush",17,2012-08-24
"Punisher: War Zone",17,2008-12-05
"Playing for Keeps",17,2012-11-29
Bridesmaids,17,2011-04-28
"The Prince & Me",17,2004-03-28
"Eight Legged Freaks",17,2002-07-17
Mindhunters,17,2004-05-07
"The Sisterhood of the Traveling Pants",17,2005-06-01
"Million Dollar Arm",17,2014-05-09
Blindness,17,2008-05-14
"The Bad Lieutenant: Port of Call - New Orleans",17,2009-09-11
Derailed,17,2005-11-11
"The Informant!",17,2009-09-18
"Freedom Writers",17,2007-01-05
"Vampires Suck",17,2010-08-18
"A Very Harold & Kumar Christmas",17,2011-11-04
"Monte Carlo",17,2011-07-01
"My Best Friend's Girl",17,2008-09-19
Undisputed,17,2002-08-23
"Ghost Town",17,2008-09-19
"Be Kind Rewind",17,2008-01-20
"Sex Drive",17,2008-10-16
"United 93",17,2006-04-28
"Labor Day",17,2013-12-27
"The White Ribbon",17,2009-05-21
Slither,17,2006-03-31
"The Hills Have Eyes 2",17,2007-03-22
"The Man with the Iron Fists",17,2012-11-02
"District B13",17,2004-11-09
"The Sea Inside",17,2004-09-03
"Earth to Echo",17,2014-06-14
Admission,17,2013-03-21
"The Second Best Exotic Marigold Hotel",17,2015-02-26
Mud,17,2013-05-01
"Rescue Dawn",17,2006-09-09
"Shaolin Soccer",17,2001-07-12
Amour,17,2012-07-01
"The Runaways",17,2010-03-19
"Crazy Heart",17,2009-12-16
"Good Night, and Good Luck.",17,2005-09-16
Capote,17,2005-09-30
"Apollo 18",17,2011-07-20
"Sympathy for Lady Vengeance",17,2005-07-29
Scoop,17,2006-07-27
"March of the Penguins",17,2005-01-26
"The Green Inferno",17,2014-09-04
"Martha Marcy May Marlene",17,2011-10-21
"Drinking Buddies",17,2013-08-23
"The Campaign",16,2012-08-09
"The Haunted Mansion",16,2003-11-25
"Mission to Mars",16,2000-03-10
"It's Complicated",16,2009-12-23
"Memoirs of a Geisha",16,2005-12-06
"Something's Gotta Give",16,2003-12-12
"Looney Tunes: Back in Action",16,2003-11-14
Hidalgo,16,2004-03-05
Hop,16,2011-03-30
"The Tale of Despereaux",16,2008-12-19
"The Legend of Bagger Vance",16,2000-11-02
"Garfield: A Tail of Two Kitties",16,2006-06-15
Grindhouse,16,2007-04-06
"Shanghai Knights",16,2003-02-06
Syriana,16,2005-11-23
