title,popularity,release_date
"Star Trek",73,2009-05-06
"Cloud Atlas",73,2012-10-26
Wanted,73,2008-06-19
"Catch Me If You Can",73,2002-12-25
"Amélie",73,2001-04-25
"The Cabin in the Woods",73,2012-04-12
"The Butterfly Effect",73,2004-01-22
"Captain America: The Winter Soldier",72,2014-03-20
"Inglourious Basterds",72,2009-08-18
"Sex Tape",72,2014-07-17
Trainwreck,72,2015-07-17
"Terminator Salvation",71,2009-05-20
"300: Rise of an Empire",71,2014-03-05
"Now You See Me",71,2013-05-29
"Pitch Perfect 2",71,2015-05-07
"I Am Legend",70,2007-12-14
"The Matrix Reloaded",70,2003-05-15
"Million Dollar Baby",70,2004-12-15
"Let's Be Cops",70,2014-08-13
"Terminator 3: Rise of the Machines",69,2003-07-02
"Ice Age: Dawn of the Dinosaurs",69,2009-06-29
"The Social Network",69,2010-09-30
Megamind,68,2010-10-28
Prometheus,68,2012-05-30
"The Hunger Games",68,2012-03-12
"Ted 2",68,2015-06-25
"The Hateful Eight",68,2015-12-25
Ted,68,2012-06-29
"The Conjuring 2",68,2016-05-13
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67,2005-12-07
"How to Train Your Dragon",67,2010-03-05
"Angels & Demons",67,2009-05-13
Elysium,67,2013-08-07
Oblivion,67,2013-04-10
"Blade II",67,2002-03-22
Shrek,67,2001-05-16
"Dumb and Dumber To",67,2014-11-12
"WALL·E",66,2008-06-22
Troy,66,2004-05-13
Ghostbusters,66,2016-07-14
RoboCop,66,2014-01-30
"Sin City",66,2005-04-01
"Sausage Party",66,2016-07-11
Self/less,66,2015-07-10
Room,66,2015-10-16
"Star Trek Beyond",65,2016-07-07
Ratatouille,65,2007-06-22
"Minority Report",65,2002-06-20
"Ice Age: Continental Drift",65,2012-06-26
"A Good Day to Die Hard",65,2013-02-06
300,65,2006-12-09
"Into the Woods",65,2014-12-25
Southpaw,65,2015-06-15
Battleship,64,2012-04-11
Watchmen,64,2009-03-05
"The Croods",64,2013-03-20
"Dracula Untold",64,2014-10-01
Snowpiercer,64,2013-08-01
Chronicle,64,2012-02-01
"Paper Towns",64,2015-06-18
Warcraft,63,2016-05-25
"Mission: Impossible III",63,2006-05-03
Home,63,2015-03-18
"Seventh Son",63,2014-12-12
"The Departed",63,2006-10-05
"District 9",63,2009-08-05
Carrie,63,2013-10-16
"Silver Linings Playbook",63,2012-09-08
Saw,63,2004-10-01
"Prince of Persia: The Sands of Time",62,2010-05-19
"Wreck-It Ralph",62,2012-11-01
"The Incredible Hulk",62,2008-06-12
"Jason Bourne",62,2016-07-27
"The Princess and the Frog",62,2009-12-08
"The Italian Job",62,2003-05-30
Argo,62,2012-10-11
"21 Jump Street",62,2012-03-12
Nerve,62,2016-07-27
"Spring Breakers",62,2013-01-24
"King Kong",61,2005-12-14
"The Great Gatsby",61,2013-05-10
"Rise of the Guardians",61,2012-11-21
"The Expendables 3",61,2014-08-04
"Percy Jackson & the Olympians: The Lightning Thief",61,2010-02-01
"Hotel Transylvania 2",61,2015-09-21
"50 First Dates",61,2004-02-13
"London Has Fallen",61,2016-03-02
"Straight Outta Compton",61,2015-08-13
"A Walk Among the Tombstones",61,2014-09-18
"The Theory of Everything",61,2014-11-26
"Donnie Darko",61,2001-01-18
"The Mummy: Tomb of the Dragon Emperor",60,2008-07-01
"The Curious Case of Benjamin Button",60,2008-11-24
"Fantastic 4: Rise of the Silver Surfer",60,2007-06-13
"The Huntsman: Winter's War",60,2016-04-06
"Ocean's Eleven",60,2001-12-07
Everest,60,2015-09-10
"In Time",60,2011-10-27
"The Shallows",60,2016-06-24
Annabelle,60,2014-10-02
Memento,60,2000-10-11
"Toy Story 3",59,2010-06-16
"G.I. Joe: Retaliation",59,2013-03-26
"A Beautiful Mind",59,2001-12-11
"Olympus Has Fallen",59,2013-03-20
Focus,59,2015-02-25
"The Lego Movie",59,2014-02-06
"Source Code",59,2011-03-30
"Slumdog Millionaire",59,2008-05-12
"Dallas Buyers Club",59,2013-09-07
"National Treasure",58,2004-11-19
Transcendence,58,2014-04-16
"Hellboy II: The Golden Army",58,2008-07-11
"The Hangover Part II",58,2011-05-25
"Underworld: Awakening",58,2012-01-19
Insidious,58,2010-09-13
"Superman Returns",57,2006-06-28
"Sherlock Holmes",57,2009-12-23
"Cast Away",57,2000-12-22
Dredd,57,2012-09-07
"The Terminal",57,2004-06-17
"Moulin Rouge!",57,2001-03-09
"The 5th Wave",57,2016-01-14
Creed,57,2015-11-25
"The Big Short",57,2015-12-11
Zombieland,57,2009-10-07
"The Book Thief",57,2013-11-08
"Pacific Rim",56,2013-07-11
"Alice Through the Looking Glass",56,2016-05-25
Hancock,56,2008-07-01
"Kung Fu Panda 3",56,2016-01-23
"Gods of Egypt",56,2016-02-25
"Lara Croft Tomb Raider: The Cradle of Life",56,2003-07-21
"Hotel Transylvania",56,2012-09-20
"Jack Reacher",56,2012-12-20
"Eternal Sunshine of the Spotless Mind",56,2004-03-19
"Dirty Grandpa",56,2016-01-21
Ouija,56,2014-10-24
Oldboy,56,2003-01-01
"Lilo & Stitch",55,2002-06-21
"The Notebook",55,2004-06-25
Sicario,55,2015-09-17
9,55,2009-08-19
"The World's End",55,2013-07-18
"Die Another Day",54,2002-11-17
"Mission: Impossible II",54,2000-05-24
"Need for Speed",54,2014-03-13
"The King's Speech",54,2010-09-06
"The Purge",54,2013-05-31
"The Chronicles of Narnia: Prince Caspian",53,2008-05-15
"Charlie and the Chocolate Factory",53,2005-07-13
"The Expendables 2",53,2012-08-08
"The Bourne Supremacy",53,2004-07-23
"Hansel & Gretel: Witch Hunters",53,2013-01-17
"Panic Room",53,2002-03-29
"Journey to the Center of the Earth",53,2008-07-10
"The Intern",53,2015-09-24
"No Country for Old Men",53,2007-11-08
"The Giver",53,2014-08-11
Her,53,2013-12-18
"Me Before You",53,2016-06-02
"Steve Jobs",53,2015-10-09
Snatch,53,2000-09-01
"The Purge: Election Year",53,2016-06-29
"10 Cloverfield Lane",53,2016-03-10
"Men in Black 3",52,2012-05-23
"The Last Samurai",52,2003-12-05
"Gone in Sixty Seconds",52,2000-06-09
"Blood Diamond",52,2006-12-07
"The Last Witch Hunter",52,2015-10-21
Mortdecai,52,2015-01-21
"Captain Phillips",52,2013-10-10
"22 Jump Street",52,2014-06-05
"Training Day",52,2001-10-05
"17 Again",52,2009-03-11
"127 Hours",52,2010-11-05
"Green Lantern",51,2011-06-16
"The Good Dinosaur",51,2015-11-14
"Kung Fu Panda 2",51,2011-05-25
"Life of Pi",51,2012-11-20
"Planet of the Apes",51,2001-07-25
"The Emperor's New Groove",51,2000-12-09
"Atlantis: The Lost Empire",51,2001-06-02
"Now You See Me 2",51,2016-06-02
Zodiac,51,2007-03-02
Coraline,51,2009-02-05
"The Hitchhiker's Guide to the Galaxy",51,2005-01-15
Sunshine,51,2007-04-05
"Underworld: Rise of the Lycans",51,2009-01-22
Warrior,51,2011-09-09
"Dark Shadows",50,2012-05-08
"In the Heart of the Sea",50,2015-11-20
Pompeii,50,2014-02-18
"Kill Bill: Vol. 2",50,2004-04-16
"Horrible Bosses",50,2011-07-08
"Neighbors 2: Sorority Rising",50,2016-05-04
"The Pianist",50,2002-09-24
"Forgetting Sarah Marshall",50,2008-04-17
"Gran Torino",50,2008-12-09
"The Witch",50,2016-02-19
"The Lone Ranger",49,2013-07-03
"Cars 2",49,2011-06-11
"The Chronicles of Narnia: The Voyage of the Dawn Treader",49,2010-08-13
"Road to Perdition",49,2002-07-12
"Battle: Los Angeles",49,2011-03-08
"Blade: Trinity",49,2004-12-08
"Law Abiding Citizen",49,2009-10-15
"Taken 2",49,2012-09-27
"Underworld: Evolution",49,2006-01-12
"American Hustle",49,2013-12-12
"True Grit",49,2010-12-22
"Howl's Moving Castle",49,2004-11-19
